"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 19:32:41 QYZT 2024","Tue Mar 19 19:32:48 QYZT 2024","7306","","calculator","","","","calculator test",""
"passed","Tue Mar 19 19:33:10 QYZT 2024","Tue Mar 19 19:33:16 QYZT 2024","5882","","Login Test","","","","should register a new user",""
